"sci_name","synonyms"
"""Dipturus bullisi""","""Dipturus bullisi"" OR ""Raja bullisi"""
"""Dipturus campbelli""","""Dipturus campbelli"" OR ""Raja campbelli"""
"""Dipturus canutus""","""Dipturus canutus"""
"""Dipturus chilensis""","""Dipturus chilensis"" OR ""Raia chilensis"" OR ""Raja flavirostris"" OR ""Raja latastei"" OR ""Raja oxyptera"" OR ""Zearaja chilensis"""
"""Dipturus chinensis""","""Dipturus chinensis"" OR ""Raia chinensis"""
"""Dipturus crosnieri""","""Dipturus crosnieri"" OR ""Raja crosnieri"""
"""Dipturus doutrei""","""Dipturus doutrei"" OR ""Raja doutrei"""
"""Dipturus ecuadoriensis""","""Dipturus ecuadoriensis"" OR ""Raja steindachneri"" OR ""Raja ecuadoriensis"""
"""Dipturus garricki""","""Dipturus garricki"" OR ""Raja garricki"""
"""Dipturus gigas""","""Dipturus gigas"" OR ""Raja gigas"""
"""Dipturus grahamorum""","""Dipturus grahamorum"" OR ""Dipturus grahami"""
"""Dipturus gudgeri""","""Dipturus gudgeri"""
"""Dipturus innominatus""","""Dipturus innominatus"" OR ""Raja innominata"""
"""Dipturus intermedius""","""Dipturus intermedius"" OR ""Dipturus intermedia"" OR ""Raia intermedia"""
"""Dipturus johannisdavisi""","""Dipturus johannisdavisi"" OR ""Raja johannisdavisi"" OR ""Dipturus johannisdavesi"""
"""Dipturus kwangtungensis""","""Dipturus kwangtungensis"" OR ""Raja kwangtungensis"""
"""Dipturus laevis""","""Dipturus laevis"" OR ""Raja laevis"" OR ""Raia granulata"""
"""Dipturus lamillai""","""Dipturus lamillai"""
"""Dipturus lanceorostratus""","""Dipturus lanceorostratus"" OR ""Raja lanceorostrata"""
"""Dipturus leptocaudus""","""Dipturus leptocaudus"" OR ""Raja leptocauda"""
"""Dipturus macrocauda""","""Dipturus macrocauda"" OR ""Dipturus macrocaudus"" OR ""Raja macrocauda"""
"""Dipturus maugeanus""","""Dipturus maugeanus"""
"""Dipturus melanospilus""","""Dipturus melanospilus"""
"""Dipturus mennii""","""Dipturus mennii"" OR ""Dipturus diehli"""
"""Dipturus nasutus""","""Dipturus nasutus"" OR ""Dipturus nasutus"" OR ""Raja nasuta"" OR ""Zearaja nasutus"""
"""Dipturus nidarosiensis""","""Dipturus nidarosiensis"" OR ""Raja nidarosiensis"""
"""Dipturus olseni""","""Dipturus olseni"" OR ""Raja olseni"""
"""Dipturus oregoni""","""Dipturus oregoni"" OR ""Raja oregoni"""
"""Dipturus oxyrinchus""","""Dipturus oxyrinchus"" OR ""Raja oxyrinchus"""
"""Dipturus pullopunctatus""","""Dipturus pullopunctatus"" OR ""Raja pullopunctata"""
"""Dipturus queenslandicus""","""Dipturus queenslandicus"""
"""Dipturus springeri""","""Dipturus springeri"" OR ""Raja springeri"""
"""Dipturus stenorhynchus""","""Dipturus stenorhynchus"" OR ""Raja stenorhynchus"""
"""Dipturus teevani""","""Dipturus teevani"" OR ""Raja teevani"""
"""Dipturus tengu""","""Dipturus tengu"" OR ""Raja tengu"""
"""Dipturus trachydermus""","""Dipturus trachydermus"" OR ""Raja trachyderma"" OR ""Dipturus trachyderma"""
"""Dipturus wengi""","""Dipturus wengi"""
