class,order,family,genus,sci_name,papers,status,min_depth,max_depth,year,size_type,size,range_km2,Species Name(RotW),page,chr,achr,NMDS1,NMDS2,NMDS3,uniqueness,sum_GDP_bil,pattern,shape
Chondrichthyes,RHINOPRISTIFORMES,PRISTIDAE,Anoxypristis,Anoxypristis cuspidata,34,CR,0,128,1794,TL,350,5159853,Anoxypristis cuspidata,0,0.733653085,6.022841162,-0.385299923,7.964524112,0.21779301,7.976812281,23822.78392,None,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema rostrata,20,LC,0,220,1794,TL,120,329018,Aptychotrema rostrata,52,1.317454931,4.718350907,12.11450062,4.016461003,0.823082545,12.78947024,1410.266438,Mottled,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema timorensis,0,VU,124,124,2004,TL,58,3306,Aptychotrema timorensis,53,0.736672906,3.826787759,11.90030411,6.841370081,-1.818440281,13.84659913,1410.266438,Spotted,Wedge
Chondrichthyes,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,Aptychotrema vincentiana,6,LC,0,125,1885,TL,100,751321,Aptychotrema vincentiana,54,0.939023985,5.287837012,11.51307562,1.781154914,-1.313923684,11.72389946,1410.266438,Mottled,Wedge
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Arctoraja,Arctoraja sexoculata,2,DD,150,150,2020,TL,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Arhynchobatis,Arhynchobatis asperrimus,1,DD,1095,1095,1909,TL,75,128939,Arhynchobatis asperrimus,279,1.278291964,6.206987437,-18.22983403,-1.575317832,0.760486837,18.31356916,213.0179479,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,Atlantoraja castelnaui,29,CR,0,300,1907,TL,147,702976,Atlantoraja castelnaui,280,1.250147685,15.09415682,-2.462463156,-3.421404661,7.307357003,8.436065494,2534.86601,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,Atlantoraja cyclophora,14,EN,0,320,1903,TL,74,591710,Atlantoraja cyclophora,281,1.396157482,4.239179475,4.048386523,6.416959502,7.869444819,10.93137523,2534.86601,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,Atlantoraja platana,11,EN,0,320,1880,TL,91,777764,Atlantoraja platana,282,1.001311223,5.03034009,-9.550739948,0.237242435,1.572338508,9.682208731,2534.86601,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja abyssicola,0,LC,360,2910,1896,TL,110,1324073,Bathyraja abyssicola,283,0.172596154,2.088561075,-3.811243619,12.05183539,-0.670376599,12.65787182,31211.58229,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja aguja,0,LC,605,980,1912,TL,76,NA,Bathyraja aguja,284,0.250639005,1.870187593,-18.8387903,4.451033229,2.454260318,19.51243477,511.534199,Mottled,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja albomaculata,14,VU,55,945,1937,TL,150,1162859,Bathyraja albomaculata,285,0.191043157,3.106680274,-9.506505813,5.050061652,-2.681676144,11.09360908,3826.452014,Spotted,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja aleutica,15,LC,15,1600,1896,TL,154,1180908,Bathyraja aleutica,286,0.833219389,5.273486492,-12.37594097,2.214509913,4.091263346,13.22143732,29824.05007,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja andriashevi,0,LC,1200,2004,1983,TL,120,116649,Bathyraja andriashevi,287,0.052580354,0.39831965,-9.2691028,12.84037581,0.14378109,15.8370512,6642.479386,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja arctowskii,2,LC,0,1685,1904,TL,NA,467666,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja bergi,1,LC,78,1800,1983,TL,102,316650,Bathyraja bergi,288,0.778938302,4.033144707,-12.98994065,-0.498865179,0.634940674,13.01501342,21420.77002,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja brachyurops,16,NT,28,604,1910,TL,125,1080126,Bathyraja brachyurops,289,1.632123878,2.633552745,-18.07989624,-0.083985784,-0.562504289,18.08883945,5721.563065,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja cousseauae,5,LC,105,1190,2004,TL,122,517083,Bathyraja cousseauae,290,1.06033917,7.124458323,2.128660774,5.176766278,1.962264688,5.93132266,3762.837858,Mottled,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja diplotaenia,0,LC,100,1000,1952,TL,87.7,86200,Bathyraja diplotaenia,291,3.02391113,4.050666891,3.652545025,2.216278518,7.34755938,8.499388476,4967.257498,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja eatonii,15,LC,15,1500,1876,TL,126,276492,Bathyraja eatonii,292,1.848395301,8.700836284,-7.211672218,8.369513646,-1.839155813,11.19997629,7062.0771,Other,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja fedorovi,1,LC,445,2025,1983,TL,150,773204,Bathyraja fedorovi,293,0.057805358,0.420608237,-6.447159806,3.21011701,0.893393854,7.257332386,6642.479386,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja griseocauda,8,EN,30,1010,1937,TL,157,1269085,Bathyraja griseocauda,294,1.080663694,4.296723044,-13.65208021,1.654159248,-0.099951478,13.75229171,3826.452014,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja hesperafricana,0,LC,750,980,1995,TL,87,31740,Bathyraja hesperafricana,295,0.117118297,0.960386923,-9.656799307,6.280540918,0.508426052,11.53071828,787.6002594,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja interrupta,6,LC,23,1380,1897,TL,89,513290,Bathyraja interrupta,296,0.583479821,4.165295395,-14.22055407,1.268115387,4.285150239,14.90619962,24856.79258,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja irrasa,1,VU,300,1220,1980,TL,140,39909,Bathyraja irrasa,297,0.510854317,4.048535192,-21.80623745,-0.331163733,2.615723445,21.96505566,4162.451356,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja ishiharai,0,DD,2300,2300,2005,TL,123,30547,Bathyraja ishiharai,298,1.073263087,4.148003685,6.334891588,3.943423011,0.580503279,7.484545446,1410.266438,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja isotrachys,0,LC,370,2000,1877,TL,86,1688289,Bathyraja isotrachys,299,0.636092639,5.534441611,-15.8322327,-5.144213541,0.584214572,16.65724563,23072.19295,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja kincaidii,7,LC,18,1372,1908,TL,64,136329,Bathyraja kincaidii,300,0.200254951,2.014208378,-5.778992552,5.697167765,0.074665888,8.115420535,24461.77388,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja leucomelanos,1,LC,953,1022,2012,TL,89.5,7919,Bathyraja leucomelanos,301,0.550059428,10.54586893,1.850856166,21.41344853,-3.177849795,21.72694585,9.465142396,Other,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja lindbergi,2,LC,34,1200,1977,TL,102,1246106,Bathyraja lindbergi,302,0.284783574,3.754314509,-16.31047107,11.49255894,1.104475532,19.98324908,28089.52289,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja longicauda,0,LC,580,735,1959,TL,23.5,NA,Bathyraja longicauda,303,1.008510374,2.738737186,-15.46043884,1.227562234,3.82774552,15.97447069,511.534199,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja maccaini,4,LC,91,500,1971,TL,120,243893,Bathyraja maccaini,304,1.136437037,7.730257491,-7.772953063,11.31446326,-3.572975002,14.18457009,2752.184918,Other,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja macloviana,10,NT,50,515,1937,TL,71,860175,Bathyraja macloviana,305,0.403619026,2.674892365,-13.67199861,-0.370242587,-1.664005029,13.77786407,3826.452014,None,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja maculata,5,LC,73,1200,1977,TL,147,874045,Bathyraja maculata,306,1.614018392,6.17760938,-15.91369899,7.473857911,4.754439989,18.21288191,28089.52289,Other,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja magellanica,7,LC,30,600,1902,TL,105,650795,Bathyraja magellanica,307,0.326706377,5.87319355,-7.898316262,7.765540199,2.811751895,11.42772782,3762.837858,Mottled,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja mariposa,1,LC,90,448,2004,TL,76,119080,Bathyraja mariposa,308,4.141913928,8.579392954,5.395511492,-2.029121976,0.205747193,5.768120332,21447.0435,Other,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja matsubarai,1,LC,120,2000,1952,TL,126,96338,Bathyraja matsubarai,309,0.604602951,3.045486935,-7.825648931,2.085056096,0.905849549,8.149159682,6642.479386,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja meridionalis,2,LC,65,2240,1987,TL,150,779274,Bathyraja meridionalis,310,1.8211811,4.159475432,-8.151163099,0.250419262,1.396584889,8.27373066,3762.837858,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja microtrachys,1,LC,1995,2900,1916,TL,70,181954,Bathyraja microtrachys,311,0.30276812,1.710918046,-10.99249463,4.697338178,-1.744016208,12.08062568,21447.0435,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja minispinosa,2,LC,106,1420,1977,TL,89.5,1152677,Bathyraja minispinosa,312,1.024527629,5.942443784,-1.822881366,14.65557677,-1.832907397,14.88181361,29824.05007,Mottled,Spade
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja multispinis,6,NT,70,740,1937,TL,126,1123259,Bathyraja multispinis,313,0.526368566,5.612942692,-15.8096228,-2.282750661,1.268036092,16.02382724,5721.563065,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja murrayi,0,LC,20,800,1880,TL,60,117879,Bathyraja murrayi,314,1.749748264,9.07065141,12.92844689,2.198652941,0.40274868,13.12025229,4162.451356,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja pacifica,1,LC,1760,1789,2016,TL,122,31268,Bathyraja pacifica,316,1.090891184,2.849746448,16.33990139,23.69899091,0.142873909,28.78636762,213.0179479,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja pallida,2,LC,1869,3366,1967,TL,162,4652,Bathyraja pallida,317,0.329529207,3.00829596,8.041662163,13.83899486,-0.215388474,16.00726401,6083.683274,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja panthera,0,LC,48,396,2011,TL,139,121671,Bathyraja panthera,318,2.141690366,6.856415484,-2.087616211,-3.898197728,-0.72673889,4.48132083,21447.0435,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja papilionifera,1,LC,637,2000,1985,TL,150,33102,Bathyraja papilionifera,319,0.357729879,1.133857543,4.021731571,2.870876301,1.958242586,5.315164118,3539.380703,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja parmifera,20,LC,17,392,1881,TL,111,1910663,Bathyraja parmifera,320,0.555634241,3.320213435,-15.00508567,-1.456639745,-0.18565729,15.0767657,23122.26539,Mottled,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja peruana,2,LC,605,1207,1984,TL,110,83479,Bathyraja peruana,321,0.208755972,4.60182985,-22.5966979,3.629274919,-0.951277288,22.90605424,618.8632165,None,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja richardsoni,8,LC,1219,2992,1961,TL,174,2871620,Bathyraja richardsoni,322,2.222061395,9.086550801,7.782198061,13.3207244,3.114276595,15.73858392,27798.14442,Other,Rhombus
Chondrichthyes,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,Bathyraja scaphiops,4,LC,30,925,1937,TL,117,505566,Bathyraja scaphiops,323,0.528556668,5.210976588,-15.44145055,0.255647034,2.136184954,15.59060732,5434.491755,Mottled,Rhombus
